Name,BR CDI RATE
1/09/2011,0.044556
1/10/2011,0.044592
1/11/2011,0.042814
1/12/2011,0.040956
1/01/2012,0.041028
1/02/2012,0.03891
1/03/2012,0.038802
1/04/2012,0.03602
1/05/2012,0.040884
1/06/2012,0.031792
1/07/2012,0.031866
1/08/2012,0.029919
1/09/2012,0.02837
1/10/2012,0.028186
1/11/2012,0.02726
1/12/2012,0.027112
1/01/2013,0.026481
1/02/2013,0.026667
1/03/2013,0.026778
1/04/2013,0.026926
1/05/2013,0.027705
1/06/2013,0.029514
1/07/2013,0.029514
1/08/2013,0.031389
1/09/2013,0.033182
1/10/2013,0.033146
1/11/2013,0.035367
1/12/2013,0.036998
1/01/2014,0.036998
1/02/2014,0.038802
1/03/2014,0.036998
1/04/2014,0.039809
1/05/2014,0.040705
1/06/2014,0.040705
1/07/2014,0.040705
1/08/2014,0.040705
1/09/2014,0.040741
1/10/2014,0.040741
1/11/2014,0.041636
1/12/2014,0.041636
1/01/2015,0.043455
1/02/2015,0.045265
1/03/2015,0.045301
1/04/2015,0.047103
1/05/2015,0.043455
1/06/2015,0.048967
1/07/2015,0.050753
1/08/2015,0.052461
1/09/2015,0.052461
1/10/2015,0.052461
1/11/2015,0.045301
1/12/2015,0.052496
1/01/2016,0.052496
1/02/2016,0.052461
1/03/2016,0.052461
1/04/2016,0.052461
1/05/2016,0.052461
1/06/2016,0.052461
1/07/2016,0.052461
1/08/2016,0.052461
1/09/2016,0.052461
1/10/2016,0.052461
1/11/2016,0.051591
1/12/2016,0.050718
1/01/2017,0.050718
1/02/2017,0.048089
1/03/2017,0.045442
1/04/2017,0.045442
1/05/2017,0.050718
1/06/2017,0.038334
1/07/2017,0.038334
1/08/2017,0.034713
1/09/2017,0.034713
1/10/2017,0.031059
